"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"349629033593577472","","","2013-06-25 20:43:52 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","We've updated our profile! http://t.co/XlXORzAUG2 via @VC4Africa","","","","http://vc4afri.ca/nr7bb"
"347884602418925569","","","2013-06-21 01:12:07 +0000","web","RT @solarmosaic: 7 Solar Innovations That Could Change the World http://t.co/nM9KFOoFyU  @etoncorporation @teslamotors @angazadesign @omcpo…","347883934949965824","178968386","2013-06-21 01:09:28 +0000","http://ow.ly/mf3Gf,http://ow.ly/mf3Gf"
"347400980784087040","","","2013-06-19 17:10:22 +0000","web","More great panelists confirmed for the upcoming #energyaccess event http://t.co/QINAXUkGOH @SolarAid @solarmosaic @Powerhive","","","","http://energyaccess.eventbrite.com/#"
"347019890139488258","","","2013-06-18 15:56:03 +0000","web","Registration open for #energyaccess event: http://t.co/QINAXUkGOH. Great group of innovators! @fenixintl @Kiva @Living_Goods @sunfunder","","","","http://energyaccess.eventbrite.com/#"
"344901631999094784","","","2013-06-12 19:38:51 +0000","web","RT @ignitegood: Group think tank on creating a movement @viarenuble , @shannonbindler, @angazadesign, @ShaneGring http://t.co/uP6V2drwvq #i…","344895414631292928","755210276","2013-06-12 19:14:09 +0000","http://instagram.com/p/aeFpniSCub/,http://instagram.com/p/aeFpniSCub/"
"344611949566365696","","","2013-06-12 00:27:46 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @ariannahuff: With @Phillycreator, @CharityMiles, and @angazadesign at #ignitionnyc http://t.co/C1bInMTeuN","344600680146812929","21982720","2013-06-11 23:42:59 +0000","http://twitter.com/ariannahuff/status/344600680146812929/photo/1,http://twitter.com/ariannahuff/status/344600680146812929/photo/1"
"344507299504721920","344504650118078465","75882114","2013-06-11 17:31:55 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@PeterJGlenn @fenixintl Thanks Peter!","","","",""
"344497804921671680","344495346082258944","1413741691","2013-06-11 16:54:11 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@HeyDeanRansom Thank you! We're honored to be recognized among such an incredible group.","","","",""
"344497423349059584","","","2013-06-11 16:52:40 +0000","web","So proud of Lesley, a 2013 @echoinggreen fellow. Congratulations to her incredible class of social gamechangers! http://t.co/5U3zbjVCXd","","","","http://www.echoinggreen.org/blog/introducing-2013-echoing-green-fellows"
"343432252321058817","343334008945524736","471922198","2013-06-08 18:20:04 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@Cam_Tellez  it was great to have you! Thanks for coming by.","","","",""
"343431801810866176","343334008945524736","471922198","2013-06-08 18:18:16 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@Cam_Tellez @angazadesign","","","",""
"343395681727283200","","","2013-06-08 15:54:45 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @Cam_Tellez: Fascinating site visit with the @angazadesign team getting a glimpse of the future of #solar energy delivery and #mobilemon…","343334008945524736","471922198","2013-06-08 11:49:41 +0000",""
"341602020874145792","","","2013-06-03 17:07:23 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yay! @SolarAid is winner of Google Global Impact Challenge! Very much deserved. #globalimpactchallenge congrats!","","","",""
"340876012197920769","","","2013-06-01 17:02:29 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","We agree: it's time to fix the mobile money basics - http://t.co/8H0dwR3l8S - simple account number + ref number improvements especially.","","","","http://mobilemoneyasia.blogspot.com.es/2013/05/ten-practical-ways-to-enhance-mobile.html"
"337630655968055296","","","2013-05-23 18:06:35 +0000","web","Vote for our friends and partner @SolarAid for the Google Impact Award! https://t.co/QqjozAuANG 2 second vote = millions of lives changed","","","","https://globalimpactchallenge.withgoogle.com/#/solaraid"
"336892304679923712","","","2013-05-21 17:12:39 +0000","web","Help our friends @livelyhoodsorg create jobs for youth in Kenyan slums to sell life changing products! http://t.co/o0xqzx5HX0","","","","http://bit.ly/18OERKB"
"329789030881443840","","","2013-05-02 02:46:46 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @sunfunder: Congrats to our partner @angazadesign who is a 2013 @echoinggreen finalist! Check out their SoLite 3 product if you haven't …","329715166121955328","411404227","2013-05-01 21:53:16 +0000",""
"329298411327217665","","","2013-04-30 18:17:13 +0000","web","Excited to be a finalist @echoinggreen! It's an honor to be recognized with such an impressive group of innovators http://t.co/8TtEBVcbOM.","","","","http://www.echoinggreen.org/blog/announcing-2013-echoing-green-fellowships-finalists#eg_finalists"
"329295185366364161","","","2013-04-30 18:04:24 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @echoinggreen: Congratulations to the Finalists for the #EG2013Fellowship &amp; #BMAFellowship! See who they are: http://t.co/I6UzD35Bl5…","329251992952246272","14886176","2013-04-30 15:12:46 +0000","http://ht.ly/kzl5S,http://ht.ly/kzl5S"
"311186113651953664","","","2013-03-11 18:45:25 +0000","web","Thrilled that our first @Kiva  loan is 100% funded! Thanks to our incredible field partner @ZamSolar. http://t.co/Y3Qs9JHghf","","","","http://www.kiva.org/lend/536441"
"309878976007008256","","","2013-03-08 04:11:19 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @world_affairs: #WA2013(1) THANK YOU to our amazing guest organizations@ #WA2013 #Innovation for Impact Reception w/ @3DRobotics, @an ...","309861371162525697","45905648","2013-03-08 03:01:22 +0000",""
